@relation TestInstances
@attribute keyword0 numeric
@attribute keyword1 numeric
@attribute keyword2 numeric
@attribute keyword3 numeric
@attribute keyword4 numeric
@attribute keyword5 numeric
@attribute keyword6 numeric
@attribute keyword7 numeric
@attribute keyword8 numeric
@attribute keyword9 numeric
@attribute keyword10 numeric
@attribute keyword11 numeric
@attribute keyword12 numeric
@attribute keyword13 numeric
@attribute keyword14 numeric
@attribute keyword15 numeric
@attribute keyword16 numeric
@attribute keyword17 numeric
@attribute keyword18 numeric
@attribute keyword19 numeric
@attribute keyword20 numeric
@attribute keyword21 numeric
@attribute keyword22 numeric
@attribute keyword23 numeric
@attribute keyword24 numeric
@attribute keyword25 numeric
@attribute keyword26 numeric
@attribute keyword27 numeric
@attribute keyword28 numeric
@attribute keyword29 numeric
@attribute keyword30 numeric
@attribute keyword31 numeric
@attribute keyword32 numeric
@attribute keyword33 numeric
@attribute keyword34 numeric
@attribute keyword35 numeric
@attribute keyword36 numeric
@attribute keyword37 numeric
@attribute keyword38 numeric
@attribute keyword39 numeric
@attribute keyword40 numeric
@attribute keyword41 numeric
@attribute keyword42 numeric
@attribute keyword43 numeric
@attribute keyword44 numeric
@attribute keyword45 numeric
@attribute keyword46 numeric
@attribute keyword47 numeric
@attribute keyword48 numeric
@attribute keyword49 numeric
@attribute keyword50 numeric
@attribute keyword51 numeric
@attribute keyword52 numeric
@attribute keyword53 numeric
@attribute author {0, 1, 2}
@data
17,14,2,0,9,5,0,1,15,7,4,1,14,127,47,103,1,0,0,0,0,7,60,2,2,19,40,33,4,10,3,4,0,0,10,23,11,49,27,0,51,28,32,17,16,42,28,66,82,68,87,28,102,56,?
21,4,1,10,13,5,1,7,22,2,9,3,11,138,36,121,3,0,0,0,0,3,92,5,2,8,96,34,4,12,6,11,0,1,11,23,9,42,19,2,29,44,47,24,15,67,21,66,81,62,66,39,92,79,?
13,2,4,2,3,2,7,2,13,2,0,3,13,111,25,82,0,0,0,0,0,16,67,0,3,3,43,43,2,9,3,2,0,0,11,32,15,27,13,0,28,26,21,11,8,55,34,46,35,28,53,57,60,33,?
5,1,2,0,13,0,0,0,20,1,4,2,24,209,65,152,0,0,0,0,0,19,166,5,4,21,98,49,2,13,2,3,2,3,17,33,8,68,38,4,93,28,48,18,36,92,75,115,129,89,141,75,98,98,?
9,0,5,3,9,3,0,1,16,1,4,3,16,205,55,152,0,0,0,0,0,18,149,3,17,7,65,40,4,6,4,4,1,2,12,37,22,56,28,2,47,51,55,33,22,64,64,76,68,74,109,53,127,91,?
11,3,1,1,8,0,1,0,9,3,3,1,22,197,79,111,0,1,0,0,0,16,134,3,11,8,82,51,6,9,2,2,1,5,9,39,21,33,27,4,57,35,48,20,26,48,57,74,98,77,126,55,130,95,?
7,0,4,0,7,1,0,1,11,0,4,1,24,185,47,94,1,1,0,0,0,15,127,4,5,15,66,29,0,11,3,3,1,1,14,31,9,25,36,4,66,33,32,14,16,68,42,68,109,72,87,65,102,90,?
15,1,5,2,13,4,2,0,15,0,8,2,39,247,76,172,0,3,0,0,0,14,135,1,8,12,97,48,4,12,3,3,5,1,12,29,24,44,36,2,94,43,62,37,31,69,42,97,144,66,111,47,198,148,?
14,1,11,1,17,1,1,3,32,0,5,2,9,206,71,178,2,1,0,0,0,8,159,0,16,11,81,44,7,8,1,6,2,4,14,39,16,32,23,5,71,62,78,42,33,95,54,82,101,81,133,83,132,101,?
15,3,2,1,5,1,0,2,17,3,3,2,10,167,58,116,2,0,0,0,0,11,93,2,7,5,71,27,5,13,3,4,1,2,10,36,15,31,20,5,43,48,42,15,26,45,33,48,70,46,67,38,89,56,?
4,1,5,0,3,0,1,1,15,0,6,3,27,200,55,138,0,1,0,0,0,16,139,4,8,6,124,32,7,7,4,6,5,4,8,50,17,19,59,0,43,32,72,20,23,73,49,91,92,62,111,55,154,88,?
