@relation TrainInstances
@attribute keyword0 numeric
@attribute keyword1 numeric
@attribute keyword2 numeric
@attribute keyword3 numeric
@attribute keyword4 numeric
@attribute keyword5 numeric
@attribute keyword6 numeric
@attribute keyword7 numeric
@attribute keyword8 numeric
@attribute keyword9 numeric
@attribute keyword10 numeric
@attribute keyword11 numeric
@attribute keyword12 numeric
@attribute keyword13 numeric
@attribute keyword14 numeric
@attribute keyword15 numeric
@attribute keyword16 numeric
@attribute keyword17 numeric
@attribute keyword18 numeric
@attribute keyword19 numeric
@attribute keyword20 numeric
@attribute keyword21 numeric
@attribute keyword22 numeric
@attribute keyword23 numeric
@attribute keyword24 numeric
@attribute keyword25 numeric
@attribute keyword26 numeric
@attribute keyword27 numeric
@attribute keyword28 numeric
@attribute keyword29 numeric
@attribute keyword30 numeric
@attribute keyword31 numeric
@attribute keyword32 numeric
@attribute keyword33 numeric
@attribute keyword34 numeric
@attribute keyword35 numeric
@attribute keyword36 numeric
@attribute keyword37 numeric
@attribute keyword38 numeric
@attribute keyword39 numeric
@attribute keyword40 numeric
@attribute keyword41 numeric
@attribute keyword42 numeric
@attribute keyword43 numeric
@attribute keyword44 numeric
@attribute keyword45 numeric
@attribute keyword46 numeric
@attribute keyword47 numeric
@attribute keyword48 numeric
@attribute keyword49 numeric
@attribute keyword50 numeric
@attribute keyword51 numeric
@attribute keyword52 numeric
@attribute keyword53 numeric
@attribute author {0, 1, 2}
@data
89,17,9,17,24,19,6,9,32,1,20,6,1,98,18,125,16,0,0,0,0,5,32,1,3,5,51,23,2,15,5,6,0,1,3,23,37,45,9,11,10,40,38,11,8,38,61,26,33,34,63,51,82,41,0
80,18,2,11,14,12,4,10,31,2,9,2,3,90,12,90,8,0,0,0,0,4,62,3,2,3,58,25,1,4,6,6,0,1,6,9,21,32,13,4,17,33,42,14,6,49,28,23,28,41,50,19,46,44,0
71,13,3,16,29,10,8,7,28,2,7,3,7,170,61,113,5,0,0,0,0,2,96,9,9,11,86,28,1,11,6,6,1,3,16,23,20,40,16,3,15,42,26,21,11,61,18,44,41,53,84,39,60,54,0
54,14,9,10,18,3,5,13,21,0,6,3,3,108,19,96,8,0,0,0,0,2,77,4,3,4,52,22,0,12,1,3,0,8,4,15,15,20,17,6,9,34,23,13,10,69,13,23,26,50,48,26,39,34,0
80,35,4,10,7,13,6,20,21,2,11,5,6,55,33,77,11,2,0,0,0,8,61,0,7,7,57,31,0,11,11,6,0,4,8,20,29,25,9,8,15,39,26,4,9,28,33,5,22,13,55,22,49,25,0
17,4,1,5,16,5,0,3,19,5,4,0,31,167,63,110,5,2,0,3,1,4,192,3,3,5,94,35,4,7,3,7,1,1,8,25,18,37,34,4,85,46,45,18,14,61,40,63,79,60,113,44,81,101,0
15,0,4,8,12,5,2,0,29,1,5,3,36,193,53,112,2,0,0,0,0,11,174,1,5,15,54,50,3,12,3,5,0,6,12,26,28,40,39,0,84,37,40,22,17,92,37,56,76,75,103,67,86,74,0
12,3,3,5,14,8,1,0,30,1,5,2,20,183,59,90,2,0,0,0,0,5,127,6,7,4,45,38,2,7,4,7,0,2,16,38,19,30,29,1,43,43,36,19,13,56,40,53,75,71,107,55,79,66,0
20,1,5,10,6,5,1,1,17,2,8,1,6,113,33,116,2,0,0,0,0,6,119,1,5,3,67,29,2,7,5,2,0,7,7,31,10,18,19,2,24,42,42,20,21,46,22,51,49,53,67,48,41,49,0
8,4,10,3,27,9,2,1,13,2,1,1,11,127,24,102,4,0,0,0,1,4,123,3,13,3,92,17,2,12,2,2,3,5,6,31,16,2,30,7,22,31,34,14,21,67,37,41,63,76,64,39,41,73,0
6,0,3,1,17,14,2,0,12,4,3,0,25,192,37,78,0,0,0,0,0,2,120,5,11,3,84,29,0,12,1,1,6,1,11,47,6,2,36,4,108,21,41,32,18,73,28,53,64,40,87,56,86,94,0
5,1,3,6,5,5,1,4,9,6,4,3,5,100,31,66,0,0,0,0,0,6,49,4,2,12,33,24,1,12,6,1,1,3,13,16,12,7,13,1,11,27,28,5,15,31,27,38,39,33,71,30,52,33,0
23,0,2,5,2,8,5,6,24,0,1,0,3,98,21,89,1,0,0,0,0,2,55,1,3,7,46,20,2,6,1,1,0,1,9,13,17,21,22,4,20,23,24,9,21,31,13,21,33,18,62,23,49,36,0
25,2,10,2,10,7,4,2,18,2,3,1,4,89,21,69,1,0,0,0,0,4,77,1,2,11,43,22,0,7,4,4,0,1,7,10,6,22,13,1,24,29,24,18,21,32,27,27,29,27,94,35,39,34,0
11,3,3,2,9,5,1,6,22,2,0,2,1,85,29,88,1,0,0,0,0,1,72,2,2,7,38,27,6,10,4,1,0,3,7,9,12,27,15,1,22,23,31,8,17,38,37,24,34,37,69,28,53,43,0
26,7,4,9,13,9,0,9,15,0,7,4,24,160,36,132,3,0,0,0,0,4,129,2,4,11,77,31,4,11,9,5,4,5,15,21,25,24,28,0,39,48,46,19,15,49,39,36,86,56,93,41,71,66,0
45,18,34,15,26,16,0,12,15,2,1,5,1,99,28,109,4,1,0,0,0,2,65,0,5,3,80,17,2,22,9,4,1,3,5,21,27,22,22,3,3,39,36,36,11,35,24,24,19,19,67,32,137,58,0
74,17,2,19,20,18,5,18,17,2,6,2,4,108,19,95,7,0,0,0,0,6,60,3,7,5,47,27,1,11,8,4,0,3,13,19,16,16,15,2,12,51,21,14,5,28,26,26,31,34,82,27,48,43,0
21,6,12,3,13,6,1,1,27,5,13,0,24,229,49,189,7,0,0,0,0,7,182,2,6,10,117,37,8,26,10,10,1,5,23,46,23,35,48,2,36,64,69,23,22,76,44,109,137,83,107,96,153,106,0
