@relation TrainInstances
@attribute keyword0 numeric
@attribute keyword1 numeric
@attribute keyword2 numeric
@attribute keyword3 numeric
@attribute keyword4 numeric
@attribute keyword5 numeric
@attribute keyword6 numeric
@attribute keyword7 numeric
@attribute keyword8 numeric
@attribute keyword9 numeric
@attribute keyword10 numeric
@attribute keyword11 numeric
@attribute keyword12 numeric
@attribute keyword13 numeric
@attribute keyword14 numeric
@attribute keyword15 numeric
@attribute keyword16 numeric
@attribute keyword17 numeric
@attribute keyword18 numeric
@attribute keyword19 numeric
@attribute keyword20 numeric
@attribute keyword21 numeric
@attribute keyword22 numeric
@attribute keyword23 numeric
@attribute keyword24 numeric
@attribute keyword25 numeric
@attribute keyword26 numeric
@attribute keyword27 numeric
@attribute keyword28 numeric
@attribute keyword29 numeric
@attribute keyword30 numeric
@attribute keyword31 numeric
@attribute keyword32 numeric
@attribute keyword33 numeric
@attribute keyword34 numeric
@attribute keyword35 numeric
@attribute keyword36 numeric
@attribute keyword37 numeric
@attribute keyword38 numeric
@attribute keyword39 numeric
@attribute keyword40 numeric
@attribute keyword41 numeric
@attribute keyword42 numeric
@attribute keyword43 numeric
@attribute keyword44 numeric
@attribute keyword45 numeric
@attribute keyword46 numeric
@attribute keyword47 numeric
@attribute keyword48 numeric
@attribute keyword49 numeric
@attribute keyword50 numeric
@attribute keyword51 numeric
@attribute keyword52 numeric
@attribute keyword53 numeric
@attribute author {0, 1, 2}
@data
48,10,9,13,11,9,5,8,25,1,8,0,1,84,9,15,15,0,0,0,0,5,31,1,1,2,23,17,0,8,4,2,0,1,1,14,10,33,7,11,2,37,35,6,4,31,16,26,29,26,17,35,21,24,0
45,13,2,11,3,3,4,7,23,2,6,1,3,85,6,18,7,0,0,0,0,4,58,3,1,0,28,21,0,3,5,2,0,1,2,3,3,30,10,3,1,32,38,6,3,37,9,20,25,39,7,7,25,25,0
42,10,0,11,9,2,7,6,22,1,5,0,7,159,31,27,4,0,0,0,0,2,93,8,6,6,46,17,1,10,3,3,1,2,1,9,6,34,9,2,5,37,24,12,2,35,6,40,39,46,31,30,29,44,0
26,9,7,8,8,1,4,12,14,0,3,0,3,91,9,25,4,0,0,0,0,2,74,2,0,0,24,14,0,8,0,3,0,6,3,6,5,16,14,3,1,33,22,7,3,53,4,23,21,45,12,18,19,16,0
53,26,4,8,2,5,4,18,17,2,6,3,6,48,23,9,8,2,0,0,0,7,60,0,5,2,36,20,0,8,11,3,0,3,1,10,11,17,7,5,2,38,24,1,4,17,10,4,18,11,25,10,27,12,0
9,1,0,4,5,0,0,2,15,3,1,0,30,153,29,29,3,0,0,3,1,3,185,3,2,4,45,19,1,3,0,6,1,1,4,11,4,29,22,4,8,41,45,14,9,29,14,50,64,49,46,25,43,61,0
7,0,1,8,0,3,1,0,23,1,2,0,36,175,31,23,2,0,0,0,0,11,164,1,2,12,28,31,0,8,2,5,0,2,4,10,8,33,33,0,28,36,40,20,11,50,9,50,67,68,41,37,38,50,0
7,3,1,4,4,1,0,0,27,1,2,0,20,170,29,15,2,0,0,0,0,5,123,6,5,2,27,27,0,4,2,5,0,2,7,21,8,23,27,1,18,40,33,15,10,24,12,49,66,68,49,28,34,44,0
12,1,4,9,5,1,1,1,8,2,2,0,6,104,15,24,0,0,0,0,0,6,111,1,1,1,40,16,1,5,4,2,0,5,3,14,4,17,16,1,9,40,41,14,14,29,11,44,39,46,21,37,18,31,0
6,3,0,2,6,1,0,1,9,1,0,0,10,121,13,21,4,0,0,0,1,4,115,3,8,2,35,11,1,8,1,2,2,1,0,13,4,1,18,2,7,27,34,12,15,27,8,38,52,66,24,33,12,34,0
4,0,0,1,7,0,2,0,10,4,0,0,24,180,17,14,0,0,0,0,0,2,105,5,4,2,33,23,0,6,0,1,1,1,4,15,2,0,22,2,10,20,36,29,6,20,13,48,54,37,35,35,30,43,0
